name,technologies
Python-програміст,"Python,Docker,REST API,Redis,Machine learning,Deep Learning"
"IT, комп'ютери, інтернет","Організованість,Відповідальність,Python,JavaScript,React,Django,Mentoring"
Python-програміст,"HTML,GitHub,JavaScript,Python,JSON,Знання принципів ООП,Selenium,Уважність,asyncio,Aiohttp,Beautiful Soup"
Python-програміст,"Java,PHP,MySQL,Git,GitHub,GitLab,JavaScript,Python,C++,PostgreSQL,React,Відповідальність,MongoDB,Docker,Програмування,Знання принципів ООП,AWS,C#"
Python-програміст,"Користувач ОС Linux,SQL,Git,Python,Docker,Робота в команді,Уміння працювати в режимі багатозадачності,NoSQL"
"IT, комп'ютери, інтернет","Відповідальність,Ініціативність"
Викладач,"Python,Scratch,Робота з дітьми"
Викладач ІТ,"Python,Програмування,Креативність"
Python-програміст,"Git,Python,Комунікабельність,Програмування,Знання принципів ООП,PyQt,Tkinter"
Python-програміст,Python
Python-програміст,"GitHub,Python,Telegram API,Стресостійкість,Django,Здатність до навчання,Selenium,asyncio,aiogram,Почуття гумору,Multiprocessing,DigitalOcean"
Python-програміст,"Python,Робота в команді,Уважність,Бажання вчитися і розвиватися"
Розробник,"Django,Vue.js,Python,PostgreSQL,JavaScript,OpenAI,Django Rest Framework"
Python-програміст,"SQL,Git,Python,PostgreSQL,Відповідальність,Docker,Docker Compose,Django,Робота в команді,REST API,Selenium,Програмування,Уважність,Розробка API,CI/CD"
Python-програміст,"SQL,Communicability,Docker,Unit testing,Redis,Backend development,Blockchain"
Викладач,Front-end development
Викладач програмування,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Scratch,Бажання вчитися і розвиватися"
Python-програміст,"Користувач ОС Linux,JavaScript,PHP,MySQL,Git,Python,PostgreSQL,Docker,Робота в команді,HTTP,REST API,Розробка API"
Python-програміст,"CSS,JavaScript,HTML,Python,Responsibility,Django,Teamwork,Flask,Kubernetes,FastAPI,Django Rest Framework,Git,sql"
React developer,"Відповідальність,Python,FastAPI,React"
Викладач програмування,"Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Бажання вчитися і розвиватися"
Python-програміст,"CSS,JavaScript,HTML,SQL,Git,Python,Знання принципів ООП,Docker,Django,Unit-тестування,REST API,Програмування,Jenkins,Flask,pandas,NumPy,CI/CD,Комунікабельність"
Робототехнік,"Відповідальність,Організованість,Здатність до навчання,Програмування,Робота з дітьми,Python,Ініціативність"
Python-програміст,"JavaScript,SQL,Python,Комунікабельність,Відповідальність,jQuery,Django,Django Rest Framework,Робота в команді,MS SQL Server,Frontend-розробка"
Викладач програмування,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Робота з дітьми,Scratch,Викладання,Бажання вчитися і розвиватися"
Python-програміст,"Користувач ОС Linux,Git,Python,PostgreSQL,Django,Django Rest Framework,Unit-тестування,REST API,REST,Уважність,ORM,PyTest,Розробка API"
Web-програміст,"CSS,JavaScript,HTML,MySQL,SQL,Git,Jira,Python,PostgreSQL,SASS,JSON,jQuery,Знання принципів ООП,Знання принципів MVC,Відповідальність,Django,REST API,ECMAScript,Angular,Дизайн,Flask,ORM,NoSQL,Знання шаблонів проєктування"
Python-програміст,"GitHub,Python,Комунікабельність,Відповідальність,Робота в команді,Unit-тестування,REST API,Програмування,Уважність,Backend-розробка,Надійність,Розробка API,Blockchain"
Викладач програмування,"CSS,JavaScript,HTML,Python,Комунікабельність,Програмування,Креативність,Scratch,Бажання вчитися і розвиватися"
Викладач,"Викладання,Python,C++,Уважність,Професіоналізм,Робота з дітьми"
Викладач програмування,"Python,Програмування,Креативність"
